"Vector","Title","Frequency","Description","Reference Period","Unit of Measure","Value","Source"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","January 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","February 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","March 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","April 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","May 1914","2002=100","5.9","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","June 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","July 1914","2002=100","5.9","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","August 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","September 1914","2002=100","6.0","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","October 1914","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","November 1914","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","December 1914","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","January 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","February 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","March 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","April 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","May 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","June 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","July 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","August 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","September 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
"V41690973","Consumer Price Index, monthly, not seasonally adjusted","Monthly","Canada;All-items","October 1915","2002=100","6.1","<a href=""https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000401"">18-10-0004-01</a>"
